y,x00,x01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
0,"1.734,00000","1.288,00000","5.796,00000","1,00000","21,00000","62,00000","407,00000","33,00000","1.062,00000","34,00000","1.377,00000","20,77763","0,01246","0,00397","0,00667","1,00000","4.882,00000","2,00000","1.837,00000","6.759,00000","0,00113","0,00362","0,00362","0,00443","9.189,00000","13,00000","132,00000","898,00000","0,00760","0,00472"
0,"1.640,00000","924,00000","5.596,00000","1,00000","20,00000","60,00000","393,00000","31,00000","1.078,00000","32,00000","1.413,00000","13,97641","0,01191","0,00397","0,00665","1,00000","4.983,00000","2,00000","1.775,00000","6.621,00000","0,00115","0,00384","0,00572","0,00380","7.646,00000","13,00000","149,00000","1.180,00000","0,00785","0,00472"
0,"1.640,00000","924,00000","5.596,00000","1,00000","20,00000","60,00000","393,00000","31,00000","1.078,00000","32,00000","1.413,00000","15,21583","0,01191","0,00397","0,00665","1,00000","4.983,00000","2,00000","1.775,00000","6.621,00000","0,00115","0,00384","0,00531","0,00410","8.104,00000","13,00000","139,00000","1.180,00000","0,00785","0,00472"
0,"1.612,00000","1.208,00000","6.063,00000","1,00000","24,00000","65,00000","426,00000","35,00000","1.042,00000","36,00000","1.332,00000","21,96210","0,01320","0,00397","0,00668","1,00000","4.849,00000","2,00000","1.919,00000","6.941,00000","0,00111","0,00449","0,00345","0,00427","7.478,00000","13,00000","127,00000","662,00000","0,00714","0,00472"
0,"1.608,00000","1.079,00000","6.125,00000","1,00000","24,00000","65,00000","430,00000","35,00000","1.037,00000","37,00000","1.322,00000","21,91422","0,01337","0,00397","0,00669","1,00000","5.736,00000","2,00000","1.938,00000","6.983,00000","0,00111","0,00418","0,00521","0,00422","7.426,00000","14,00000","145,00000","638,00000","0,00753","0,00472"
0,"1.584,00000","1.108,00000","6.094,00000","1,00000","24,00000","65,00000","428,00000","35,00000","1.039,00000","37,00000","1.327,00000","20,19742","0,01328","0,00397","0,00669","1,00000","5.856,00000","2,00000","1.929,00000","6.962,00000","0,00111","0,00442","0,00687","0,00444","6.006,00000","14,00000","170,00000","662,00000","0,00714","0,00472"
0,"1.583,00000","942,00000","6.033,00000","1,00000","23,00000","64,00000","424,00000","35,00000","1.044,00000","36,00000","1.337,00000","25,33355","0,01311","0,00397","0,00668","1,00000","4.816,00000","2,00000","1.910,00000","6.921,00000","0,00111","0,00458","0,00337","0,00395","8.104,00000","13,00000","86,00000","974,00000","0,00593","0,00472"
0,"1.583,00000","942,00000","6.033,00000","1,00000","23,00000","64,00000","424,00000","35,00000","1.044,00000","36,00000","1.337,00000","27,58012","0,01311","0,00397","0,00668","1,00000","4.816,00000","2,00000","1.910,00000","6.921,00000","0,00111","0,00458","0,00316","0,00427","5.146,00000","13,00000","129,00000","974,00000","0,00593","0,00472"
0,"1.407,00000","1.041,00000","5.652,00000","1,00000","20,00000","60,00000","397,00000","31,00000","1.073,00000","33,00000","1.403,00000","25,69485","0,01206","0,00397","0,00666","1,00000","4.718,00000","2,00000","1.792,00000","6.660,00000","0,00115","0,00385","0,00499","0,00337","5.146,00000","13,00000","169,00000","1.653,00000","0,00781","0,00472"
0,"1.407,00000","1.041,00000","5.652,00000","1,00000","20,00000","60,00000","397,00000","31,00000","1.073,00000","33,00000","1.403,00000","27,97346","0,01206","0,00397","0,00666","1,00000","4.718,00000","2,00000","1.792,00000","6.660,00000","0,00115","0,00385","0,00483","0,00344","6.006,00000","13,00000","167,00000","1.653,00000","0,00781","0,00472"
0,"1.389,00000","913,00000","5.624,00000","1,00000","20,00000","60,00000","395,00000","31,00000","1.076,00000","33,00000","1.408,00000","24,97733","0,01198","0,00397","0,00666","1,00000","4.686,00000","2,00000","1.784,00000","6.641,00000","0,00115","0,00378","0,00359","0,00306","5.505,00000","12,00000","90,00000","1.180,00000","0,00785","0,00472"
0,"1.297,00000","942,00000","6.033,00000","1,00000","23,00000","64,00000","424,00000","35,00000","1.044,00000","36,00000","1.337,00000","21,98852","0,01311","0,00397","0,00668","1,00000","5.856,00000","2,00000","1.910,00000","6.921,00000","0,00111","0,00458","0,00359","0,00433","9.551,00000","13,00000","83,00000","974,00000","0,00593","0,00472"
0,"1.177,00000","1.447,00000","5.884,00000","1,00000","22,00000","63,00000","413,00000","33,00000","1.055,00000","35,00000","1.362,00000","17,04103","0,01270","0,00397","0,00667","1,00000","4.654,00000","2,00000","1.864,00000","6.820,00000","0,00113","0,00500","0,00706","0,00350","8.104,00000","9,00000","89,00000","1.379,00000","0,00752","0,00472"
0,"1.177,00000","1.447,00000","5.884,00000","1,00000","22,00000","63,00000","413,00000","33,00000","1.055,00000","35,00000","1.362,00000","18,55222","0,01270","0,00397","0,00667","1,00000","4.654,00000","2,00000","1.864,00000","6.820,00000","0,00113","0,00500","0,00526","0,00357","5.146,00000","9,00000","170,00000","1.379,00000","0,00752","0,00472"
0,"1.775,00000","1.316,00000","5.854,00000","1,00000","22,00000","63,00000","411,00000","33,00000","1.057,00000","35,00000","1.367,00000","18,29135","0,01262","0,00397","0,00667","1,00000","4.949,00000","2,00000","1.855,00000","6.799,00000","0,00113","0,00425","0,00494","0,00352","5.891,00000","13,00000","147,00000","1.787,00000","0,00752","0,00491"
0,"1.775,00000","1.316,00000","5.854,00000","1,00000","22,00000","63,00000","411,00000","33,00000","1.057,00000","35,00000","1.367,00000","21,07395","0,01262","0,00397","0,00667","1,00000","4.949,00000","2,00000","1.855,00000","6.799,00000","0,00113","0,00425","0,00459","0,00427","5.377,00000","13,00000","132,00000","1.787,00000","0,00752","0,00491"
0,"1.773,00000","1.407,00000","5.825,00000","1,00000","22,00000","62,00000","409,00000","33,00000","1.060,00000","34,00000","1.372,00000","16,33224","0,01254","0,00397","0,00667","1,00000","4.915,00000","2,00000","1.846,00000","6.779,00000","0,00113","0,00394","0,00634","0,00326","5.047,00000","14,00000","159,00000","1.106,00000","0,00756","0,00491"
0,"1.773,00000","1.407,00000","5.825,00000","1,00000","22,00000","62,00000","409,00000","33,00000","1.060,00000","34,00000","1.372,00000","17,78058","0,01254","0,00397","0,00667","1,00000","4.915,00000","2,00000","1.846,00000","6.779,00000","0,00113","0,00394","0,00503","0,00352","5.891,00000","14,00000","149,00000","1.106,00000","0,00756","0,00491"
0,"1.714,00000","967,00000","5.484,00000","1,00000","19,00000","59,00000","385,00000","30,00000","1.087,00000","31,00000","1.434,00000","24,97733","0,01160","0,00397","0,00665","2,00000","5.191,00000","2,00000","1.740,00000","6.543,00000","0,00116","0,00438","0,00674","0,00366","7.287,00000","10,00000","149,00000","1.196,00000","0,00798","0,00491"
0,"1.646,00000","913,00000","5.624,00000","1,00000","20,00000","60,00000","395,00000","31,00000","1.076,00000","33,00000","1.408,00000","31,77579","0,01198","0,00397","0,00666","1,00000","5.017,00000","2,00000","1.784,00000","6.641,00000","0,00115","0,00378","0,00582","0,00366","10.521,00000","12,00000","151,00000","1.175,00000","0,00781","0,00491"
0,"1.646,00000","913,00000","5.624,00000","1,00000","20,00000","60,00000","395,00000","31,00000","1.076,00000","33,00000","1.408,00000","17,28406","0,01198","0,00397","0,00666","1,00000","5.017,00000","2,00000","1.784,00000","6.641,00000","0,00115","0,00378","0,00503","0,00479","6.616,00000","12,00000","127,00000","1.175,00000","0,00781","0,00491"
0,"1.640,00000","924,00000","5.596,00000","1,00000","20,00000","60,00000","393,00000","31,00000","1.078,00000","32,00000","1.413,00000","30,88846","0,01191","0,00397","0,00665","1,00000","4.983,00000","2,00000","1.775,00000","6.621,00000","0,00115","0,00384","0,00593","0,00366","9.369,00000","13,00000","151,00000","1.184,00000","0,00785","0,00491"
0,"1.612,00000","1.208,00000","6.063,00000","1,00000","24,00000","65,00000","426,00000","35,00000","1.042,00000","36,00000","1.332,00000","24,97733","0,01320","0,00397","0,00668","1,00000","4.849,00000","2,00000","1.919,00000","6.941,00000","0,00111","0,00449","0,00483","0,00380","7.501,00000","13,00000","80,00000","716,00000","0,00714","0,00491"
0,"1.612,00000","1.208,00000","6.063,00000","1,00000","24,00000","65,00000","426,00000","35,00000","1.042,00000","36,00000","1.332,00000","27,19231","0,01320","0,00397","0,00668","1,00000","4.849,00000","2,00000","1.919,00000","6.941,00000","0,00111","0,00449","0,00333","0,00410","5.047,00000","13,00000","131,00000","716,00000","0,00714","0,00491"
0,"1.608,00000","1.079,00000","6.125,00000","1,00000","24,00000","65,00000","430,00000","35,00000","1.037,00000","37,00000","1.322,00000","21,67934","0,01337","0,00397","0,00669","1,00000","5.736,00000","2,00000","1.938,00000","6.983,00000","0,00111","0,00418","0,00739","0,00469","7.472,00000","14,00000","198,00000","816,00000","0,00753","0,00491"
0,"1.561,00000","1.079,00000","6.125,00000","1,00000","24,00000","65,00000","430,00000","35,00000","1.037,00000","37,00000","1.322,00000","17,28406","0,01337","0,00397","0,00669","1,00000","7.760,00000","2,00000","1.938,00000","6.983,00000","0,00111","0,00418","0,00687","0,00618","5.095,00000","14,00000","155,00000","816,00000","0,00753","0,00491"
0,"1.548,00000","1.279,00000","5.681,00000","1,00000","21,00000","61,00000","399,00000","32,00000","1.071,00000","33,00000","1.398,00000","27,58012","0,01214","0,00397","0,00666","1,00000","4.750,00000","2,00000","1.801,00000","6.680,00000","0,00115","0,00414","0,00463","0,00340","5.891,00000","13,00000","167,00000","1.477,00000","0,00777","0,00491"
0,"1.548,00000","1.279,00000","5.681,00000","1,00000","21,00000","61,00000","399,00000","32,00000","1.071,00000","33,00000","1.398,00000","31,77579","0,01214","0,00397","0,00666","1,00000","4.750,00000","2,00000","1.801,00000","6.680,00000","0,00115","0,00414","0,00377","0,00357","9.013,00000","13,00000","120,00000","1.477,00000","0,00777","0,00491"
0,"1.407,00000","1.041,00000","5.652,00000","1,00000","20,00000","60,00000","397,00000","31,00000","1.073,00000","33,00000","1.403,00000","24,62613","0,01206","0,00397","0,00666","1,00000","4.718,00000","2,00000","1.792,00000","6.660,00000","0,00115","0,00385","0,00337","0,00376","5.095,00000","13,00000","77,00000","1.175,00000","0,00781","0,00491"
0,"1.389,00000","1.108,00000","6.094,00000","1,00000","24,00000","65,00000","428,00000","35,00000","1.039,00000","37,00000","1.327,00000","21,96321","0,01328","0,00397","0,00669","1,00000","4.882,00000","2,00000","1.929,00000","6.962,00000","0,00110","0,00442","0,00410","0,00410","7.479,00000","14,00000","129,00000","816,00000","0,00753","0,00491"
0,"1.179,00000","1.278,00000","5.913,00000","1,00000","22,00000","63,00000","416,00000","34,00000","1.053,00000","35,00000","1.357,00000","16,80141","0,01278","0,00397","0,00667","1,00000","4.686,00000","2,00000","1.873,00000","6.840,00000","0,00113","0,00441","0,00759","0,00347","7.501,00000","14,00000","86,00000","1.310,00000","0,00685","0,00491"
0,"1.179,00000","1.278,00000","5.913,00000","1,00000","22,00000","63,00000","416,00000","34,00000","1.053,00000","35,00000","1.357,00000","18,29135","0,01278","0,00397","0,00667","1,00000","4.686,00000","2,00000","1.873,00000","6.840,00000","0,00113","0,00441","0,00566","0,00354","5.047,00000","14,00000","90,00000","1.310,00000","0,00685","0,00491"
0,"1.177,00000","1.447,00000","5.884,00000","1,00000","22,00000","63,00000","413,00000","33,00000","1.055,00000","35,00000","1.362,00000","14,17574","0,01270","0,00397","0,00667","1,00000","4.654,00000","2,00000","1.864,00000","6.820,00000","0,00113","0,00500","0,00656","0,00331","7.148,00000","9,00000","170,00000","1.787,00000","0,00752","0,00491"
0,"1.177,00000","1.447,00000","5.884,00000","1,00000","22,00000","63,00000","413,00000","33,00000","1.055,00000","35,00000","1.362,00000","16,33224","0,01270","0,00397","0,00667","1,00000","4.654,00000","2,00000","1.864,00000","6.820,00000","0,00113","0,00500","0,00489","0,00322","7.501,00000","9,00000","161,00000","1.787,00000","0,00752","0,00491"
0,"1.779,00000","1.366,00000","4.718,00000","1,00000","14,00000","51,00000","332,00000","24,00000","1.160,00000","25,00000","1.602,00000","27,58012","0,00956","0,00397","0,00659","1,00000","5.483,00000","2,00000","1.503,00000","5.989,00000","0,00156","0,00411","0,00337","0,00249","6.877,00000","12,00000","88,00000","1.329,00000","0,00797","0,00506"
0,"1.779,00000","1.366,00000","4.718,00000","1,00000","14,00000","51,00000","332,00000","24,00000","1.160,00000","25,00000","1.602,00000","31,77579","0,00956","0,00397","0,00659","1,00000","5.483,00000","2,00000","1.503,00000","5.989,00000","0,00156","0,00411","0,00483","0,00302","5.377,00000","12,00000","89,00000","1.329,00000","0,00797","0,00506"
0,"1.759,00000","837,00000","6.670,00000","1,00000","29,00000","71,00000","469,00000","40,00000","1.000,00000","42,00000","1.242,00000","29,18745","0,01080","0,00397","0,00672","1,00000","5.910,00000","2,00000","2.107,00000","7.342,00000","0,00130","0,00373","0,00339","0,00598","5.377,00000","7,00000","151,00000","1.446,00000","0,00686","0,00506"
0,"1.759,00000","837,00000","6.670,00000","1,00000","29,00000","71,00000","469,00000","40,00000","1.000,00000","42,00000","1.242,00000","14,58296","0,01080","0,00397","0,00672","1,00000","5.910,00000","2,00000","2.107,00000","7.342,00000","0,00130","0,00373","0,00739","0,00438","5.453,00000","7,00000","186,00000","1.446,00000","0,00686","0,00506"
0,"1.753,00000","938,00000","6.636,00000","1,00000","28,00000","71,00000","466,00000","40,00000","1.002,00000","42,00000","1.247,00000","26,06130","0,01133","0,00397","0,00672","1,00000","5.870,00000","2,00000","2.096,00000","7.320,00000","0,00109","0,00355","0,00489","0,00499","7.722,00000","7,00000","110,00000","1.348,00000","0,00686","0,00506"
0,"1.753,00000","938,00000","6.636,00000","1,00000","28,00000","71,00000","466,00000","40,00000","1.002,00000","42,00000","1.247,00000","28,37241","0,01133","0,00397","0,00672","1,00000","5.870,00000","2,00000","2.096,00000","7.320,00000","0,00109","0,00355","0,00365","0,00598","5.377,00000","7,00000","110,00000","1.348,00000","0,00686","0,00506"
0,"1.721,00000","1.014,00000","6.472,00000","1,00000","27,00000","69,00000","455,00000","38,00000","1.013,00000","40,00000","1.270,00000","16,80141","0,01435","0,00397","0,00671","1,00000","5.673,00000","2,00000","2.046,00000","7.213,00000","0,00106","0,00323","0,00604","0,00279","7.574,00000","9,00000","149,00000","1.288,00000","0,00668","0,00506"
0,"1.721,00000","1.014,00000","6.472,00000","1,00000","27,00000","69,00000","455,00000","38,00000","1.013,00000","40,00000","1.270,00000","17,53056","0,01435","0,00397","0,00671","1,00000","5.673,00000","2,00000","2.046,00000","7.213,00000","0,00106","0,00323","0,00582","0,00290","7.722,00000","9,00000","147,00000","1.288,00000","0,00668","0,00506"
0,"1.721,00000","1.014,00000","6.472,00000","1,00000","27,00000","69,00000","455,00000","38,00000","1.013,00000","40,00000","1.270,00000","21,98852","0,01435","0,00397","0,00671","1,00000","5.673,00000","2,00000","2.046,00000","7.213,00000","0,00106","0,00323","0,00503","0,00380","5.453,00000","9,00000","124,00000","1.288,00000","0,00668","0,00506"
0,"1.708,00000","1.149,00000","5.087,00000","1,00000","16,00000","55,00000","358,00000","27,00000","1.123,00000","28,00000","1.516,00000","19,35735","0,01053","0,00397","0,00662","1,00000","5.830,00000","2,00000","1.617,00000","6.260,00000","0,00137","0,00386","0,00626","0,00455","7.498,00000","10,00000","181,00000","1.265,00000","0,00881","0,00506"
0,"1.702,00000","1.397,00000","4.671,00000","1,00000","14,00000","50,00000","328,00000","24,00000","1.165,00000","25,00000","1.614,00000","17,28406","0,00944","0,00397","0,00659","1,00000","5.790,00000","2,00000","1.488,00000","5.953,00000","0,00156","0,00414","0,00687","0,00354","8.506,00000","12,00000","196,00000","1.338,00000","0,00798","0,00506"
0,"1.702,00000","1.397,00000","4.671,00000","1,00000","14,00000","50,00000","328,00000","24,00000","1.165,00000","25,00000","1.614,00000","18,81680","0,00944","0,00397","0,00659","1,00000","5.790,00000","2,00000","1.488,00000","5.953,00000","0,00156","0,00414","0,00638","0,00455","9.928,00000","12,00000","183,00000","1.338,00000","0,00798","0,00506"
0,"1.671,00000","837,00000","6.737,00000","1,00000","29,00000","53,00000","473,00000","40,00000","996,00000","42,00000","1.233,00000","26,80996","0,01248","0,00396","0,00672","1,00000","5.596,00000","2,00000","2.127,00000","7.386,00000","0,00130","0,00338","0,00459","0,00339","8.506,00000","7,00000","129,00000","1.358,00000","0,00686","0,00506"
0,"1.671,00000","837,00000","6.737,00000","1,00000","29,00000","53,00000","473,00000","40,00000","996,00000","42,00000","1.233,00000","29,18745","0,01248","0,00396","0,00672","1,00000","5.596,00000","2,00000","2.127,00000","7.386,00000","0,00130","0,00338","0,00426","0,00366","9.928,00000","7,00000","121,00000","1.358,00000","0,00686","0,00506"
0,"1.665,00000","840,00000","6.703,00000","1,00000","29,00000","71,00000","471,00000","40,00000","998,00000","42,00000","1.238,00000","22,62018","0,01398","0,00397","0,00672","1,00000","5.558,00000","2,00000","2.117,00000","7.364,00000","0,00109","0,00382","0,00503","0,00279","7.501,00000","7,00000","145,00000","1.695,00000","0,00686","0,00506"
0,"1.665,00000","840,00000","6.703,00000","1,00000","29,00000","71,00000","471,00000","40,00000","998,00000","42,00000","1.238,00000","26,06130","0,01398","0,00397","0,00672","1,00000","5.558,00000","2,00000","2.117,00000","7.364,00000","0,00109","0,00382","0,00337","0,00339","6.616,00000","7,00000","131,00000","1.695,00000","0,00686","0,00506"
0,"1.494,00000","1.015,00000","6.407,00000","1,00000","26,00000","68,00000","450,00000","38,00000","1.017,00000","39,00000","1.279,00000","21,98852","0,01417","0,00397","0,00671","1,00000","5.992,00000","2,00000","2.026,00000","7.171,00000","0,00106","0,00343","0,00656","0,00444","6.365,00000","9,00000","169,00000","1.172,00000","0,00759","0,00506"
0,"1.494,00000","1.015,00000","6.407,00000","1,00000","26,00000","68,00000","450,00000","38,00000","1.017,00000","39,00000","1.279,00000","23,93845","0,01417","0,00397","0,00671","1,00000","5.992,00000","2,00000","2.026,00000","7.171,00000","0,00106","0,00343","0,00489","0,00503","8.506,00000","9,00000","198,00000","1.172,00000","0,00759","0,00506"
0,"1.472,00000","1.021,00000","6.375,00000","1,00000","26,00000","68,00000","448,00000","37,00000","1.020,00000","39,00000","1.284,00000","30,88846","0,01408","0,00397","0,00670","1,00000","5.951,00000","2,00000","2.016,00000","7.149,00000","0,00106","0,00347","0,00699","0,00269","5.146,00000","9,00000","149,00000","1.270,00000","0,00878","0,00506"
0,"1.177,00000","1.287,00000","6.312,00000","2,00000","26,00000","67,00000","443,00000","37,00000","1.024,00000","39,00000","1.294,00000","16,80141","0,01390","0,00397","0,00670","1,00000","4.140,00000","2,00000","1.996,00000","7.107,00000","0,00106","0,00374","0,00483","0,00448","6.943,00000","11,00000","126,00000","1.229,00000","0,00560","0,00506"
0,"1.776,00000","1.447,00000","5.884,00000","1,00000","22,00000","63,00000","413,00000","33,00000","1.055,00000","35,00000","1.362,00000","18,03416","0,01270","0,00397","0,00667","1,00000","4.983,00000","2,00000","1.864,00000","6.820,00000","0,00112","0,00500","0,00503","0,00339","5.779,00000","9,00000","149,00000","1.379,00000","0,00685","0,00511"
0,"1.776,00000","1.447,00000","5.884,00000","1,00000","22,00000","63,00000","413,00000","33,00000","1.055,00000","35,00000","1.362,00000","20,77763","0,01270","0,00397","0,00667","1,00000","4.983,00000","2,00000","1.864,00000","6.820,00000","0,00112","0,00500","0,00467","0,00410","8.610,00000","9,00000","134,00000","1.379,00000","0,00685","0,00511"
0,"1.775,00000","1.316,00000","5.854,00000","1,00000","22,00000","63,00000","411,00000","33,00000","1.057,00000","35,00000","1.367,00000","16,10259","0,01262","0,00397","0,00667","1,00000","4.949,00000","2,00000","1.855,00000","6.799,00000","0,00113","0,00425","0,00551","0,00314","4.951,00000","13,00000","161,00000","1.327,00000","0,00752","0,00511"
0,"1.775,00000","1.316,00000","5.854,00000","1,00000","22,00000","63,00000","411,00000","33,00000","1.057,00000","35,00000","1.367,00000","17,53056","0,01262","0,00397","0,00667","1,00000","4.949,00000","2,00000","1.855,00000","6.799,00000","0,00113","0,00425","0,00512","0,00339","5.779,00000","13,00000","151,00000","1.327,00000","0,00752","0,00511"
0,"1.721,00000","956,00000","5.512,00000","1,00000","19,00000","59,00000","387,00000","30,00000","1.085,00000","32,00000","1.429,00000","24,62613","0,01168","0,00397","0,00665","1,00000","5.227,00000","2,00000","1.749,00000","6.563,00000","0,00115","0,00433","0,00687","0,00352","7.148,00000","11,00000","151,00000","1.192,00000","0,00794","0,00511"
0,"1.655,00000","1.258,00000","6.186,00000","1,00000","25,00000","66,00000","435,00000","36,00000","1.033,00000","37,00000","1.313,00000","21,91644","0,01354","0,00397","0,00669","1,00000","4.654,00000","2,00000","1.957,00000","7.024,00000","0,00110","0,00383","0,00521","0,00422","7.428,00000","10,00000","145,00000","1.126,00000","0,00957","0,00511"
0,"1.653,00000","1.041,00000","5.652,00000","1,00000","20,00000","60,00000","397,00000","31,00000","1.073,00000","33,00000","1.403,00000","14,79094","0,01206","0,00397","0,00666","1,00000","5.051,00000","2,00000","1.792,00000","6.660,00000","0,00114","0,00385","0,00551","0,00380","6.943,00000","13,00000","143,00000","1.653,00000","0,00777","0,00511"
0,"1.653,00000","1.041,00000","5.652,00000","1,00000","20,00000","60,00000","397,00000","31,00000","1.073,00000","33,00000","1.403,00000","17,04103","0,01206","0,00397","0,00666","1,00000","5.051,00000","2,00000","1.792,00000","6.660,00000","0,00114","0,00385","0,00512","0,00461","6.489,00000","13,00000","129,00000","1.653,00000","0,00777","0,00511"
0,"1.631,00000","1.321,00000","6.155,00000","1,00000","24,00000","66,00000","432,00000","36,00000","1.035,00000","37,00000","1.318,00000","19,63342","0,01346","0,00397","0,00669","1,00000","4.919,00000","2,00000","1.948,00000","7.003,00000","0,00110","0,00332","0,00712","0,00448","5.779,00000","10,00000","174,00000","1.071,00000","0,00649","0,00511"
0,"1.631,00000","1.321,00000","6.155,00000","1,00000","24,00000","66,00000","432,00000","36,00000","1.035,00000","37,00000","1.318,00000","21,37450","0,01346","0,00397","0,00669","1,00000","4.622,00000","2,00000","1.948,00000","7.003,00000","0,00110","0,00332","0,00752","0,00484","7.473,00000","10,00000","161,00000","1.071,00000","0,00649","0,00511"
